Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,7278717,12373,0.0017,2.6692,1.3871,0.006294
Apache,71887,89,0.001252,2.6118,1.0471,0.003424
Cochise,125922,73,0.000588,2.4732,1.6591,0.002411
Coconino,143476,212,0.001485,2.6091,1.7097,0.006622
Gila,54018,76,0.001425,2.581,1.0,0.003679
Graham,38837,30,0.000798,2.504,1.0,0.001999
Greenlee,9498,10,0.001158,2.0,1.25,0.002895
La Paz,21108,36,0.001753,2.799,2.0,0.009813
Maricopa,4485414,8696,0.001939,2.6913,1.4124,0.00737
Mohave,212181,472,0.002229,2.7884,1.0085,0.006269
Navajo,110924,189,0.001713,2.6145,1.3404,0.006003
Pima,1047279,827,0.000791,2.5298,1.2144,0.002429
Pinal,462789,987,0.002135,2.6412,1.5692,0.008848
Santa Cruz,46498,46,0.001011,2.5392,1.7037,0.004373
Yavapai,235099,449,0.001914,2.7127,1.1847,0.006151
Yuma,213787,181,0.000851,2.5752,2.0,0.004385
