Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,623989,213,0.000343,2.2891,1.6905,0.001327
Addison,36777,9,0.000272,2.2384,1.0,0.000609
Bennington,35470,13,0.000395,2.3004,2.0,0.001816
Caledonia,29993,1,6.7e-05,2.1293,1.0,0.000142
Chittenden,163774,99,0.000611,2.3166,2.0,0.002829
Essex,6163,4,0.000811,2.4441,2.0,0.003966
Franklin,49402,9,0.000202,2.342,1.0,0.000474
Grand Isle,7235,3,0.000553,2.361,1.0,0.001305
Lamoille,25362,1,7.9e-05,2.3219,1.0,0.000183
Orange,28892,9,0.000346,2.2453,1.5,0.001166
Orleans,27037,5,0.000222,2.3564,1.25,0.000654
Rutland,58191,24,0.00043,2.2832,1.6,0.001569
Washington,58409,15,0.000274,2.2384,1.6667,0.001022
Windham,42222,8,0.000213,2.2084,1.0,0.000471
Windsor,55062,13,0.000254,2.252,2.0,0.001145
