Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,6045680,3146,0.000521,2.3517,1.7957,0.002198
Allegany,70416,23,0.000341,2.2585,2.0,0.00154
Anne Arundel,579234,339,0.000587,2.3791,1.9483,0.002721
Baltimore,827370,374,0.000453,2.3371,1.9179,0.002032
Calvert,92525,45,0.000497,2.3702,1.6071,0.001894
Caroline,33406,13,0.000419,2.4248,2.0,0.002032
Carroll,168447,48,0.000291,2.3219,1.5,0.001013
Cecil,102855,69,0.000681,2.4047,1.5682,0.002566
Charles,163257,123,0.00076,2.4365,1.9219,0.003557
Dorchester,31929,35,0.001128,2.3963,2.0,0.005404
Frederick,259547,125,0.000485,2.3963,1.7123,0.001992
Garrett,29014,6,0.000241,2.2585,1.0,0.000545
Harford,255441,126,0.000497,2.3747,1.6579,0.001957
Howard,325690,140,0.000433,2.2948,1.9178,0.001905
Kent,19422,6,0.00036,2.4169,2.0,0.001742
Montgomery,1050688,488,0.000465,2.3371,1.6542,0.001799
Prince George's,909327,585,0.000644,2.3564,1.8111,0.00275
Queen Anne's,50381,17,0.000357,2.2832,1.4167,0.001156
St. Mary's,113510,83,0.00074,2.4478,1.5962,0.002891
Somerset,25616,8,0.000351,2.3113,1.6,0.001299
Talbot,37181,15,0.00043,2.3791,1.1538,0.001181
Washington,151049,67,0.00045,2.3321,1.8108,0.001901
Wicomico,103609,89,0.000869,2.4905,2.0,0.004327
Worcester,52276,34,0.00067,2.3702,2.0,0.003174
Baltimore City,593490,288,0.000487,2.3371,1.7669,0.002011
