Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,578759,876,0.001515,2.4837,1.2033,0.004529
Albany,38880,58,0.001517,2.7174,2.0,0.008247
Big Horn,11790,21,0.001866,2.3517,1.5,0.006582
Campbell,46341,63,0.001381,2.9177,1.5,0.006044
Carbon,14800,45,0.003108,2.3564,1.4516,0.010631
Converse,13822,46,0.0034,2.6913,1.3529,0.012381
Crook,7584,6,0.000923,2.8975,2.0,0.005349
Fremont,39261,65,0.001681,2.361,1.1818,0.004691
Goshen,13211,18,0.001438,2.3835,1.0,0.003428
Hot Springs,4413,1,0.000453,2.3517,1.0,0.001066
Johnson,8445,6,0.000829,2.5392,1.0,0.002105
Laramie,99500,165,0.001668,2.4403,1.0,0.004071
Lincoln,19830,29,0.001513,2.2773,1.1154,0.003843
Natrona,79858,93,0.001177,2.4973,2.0,0.005879
Niobrara,2356,1,0.000849,2.3219,1.0,0.001971
Park,29194,34,0.001199,2.6742,2.0,0.006412
Platte,8393,29,0.003574,2.8358,1.2609,0.01278
Sheridan,30485,35,0.001181,2.3963,2.0,0.00566
Sublette,9831,21,0.002238,2.6913,1.1053,0.006657
Sweetwater,42343,58,0.001393,2.8031,1.0,0.003906
Teton,23464,29,0.001279,2.4088,1.0,0.00308
Uinta,20226,42,0.002126,2.7009,1.1351,0.006518
Washakie,7805,2,0.000384,2.2312,1.0,0.000858
Weston,6927,9,0.001444,2.2891,1.125,0.003718
