Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,3080156,7358,0.002389,2.7969,1.2373,0.008268
Churchill,24909,19,0.000803,2.6091,1.5833,0.003317
Clark,2266715,6341,0.002798,2.8135,1.1861,0.009337
Douglas,48905,54,0.001125,2.8217,1.4211,0.004509
Elko,52778,61,0.001175,2.9393,1.0893,0.003761
Esmeralda,873,0,0.001145,2.7969,1.0,0.003204
Eureka,2029,1,0.000986,2.7969,1.0,0.002757
Humboldt,16831,7,0.000475,2.3113,2.0,0.002197
Lander,5532,1,0.000362,2.0,1.0,0.000723
Lincoln,5183,2,0.000579,3.203,1.0,0.001854
Lyon,57510,74,0.001304,3.0129,1.8974,0.007455
Mineral,4505,6,0.001554,2.5694,1.0,0.003992
Nye,46523,69,0.001505,2.8975,1.0455,0.004558
Pershing,6725,1,0.000297,2.0,1.0,0.000595
Storey,4123,4,0.001213,2.7969,1.0,0.003392
Washoe,471519,658,0.001398,2.7799,2.0,0.00777
White Pine,9580,9,0.001044,2.8052,1.0,0.002928
Carson City,55916,51,0.00093,2.8052,1.2439,0.003245
